Livsmedelsnamn;Livsmedelsnummer;Energi (kcal);Energi (kJ);Kolhydrater (g);Fett (g);Protein (g);Fibrer (g);Vatten (g);Alkohol (g);Aska (g);Monosackarider (g);Disackarider (g);Sackaros (g);Fullkorn totalt (g);Sockerarter (g);Summa mättade fettsyror (g);Fettsyra 4:0-10:0 (g);Laurinsyra C12:0 (g);Myristinsyra C14:0 (g);Palmitinsyra C16:0 (g);Stearinsyra C18:0 (g);Arakidinsyra C20:0 (g);Summa enkelomättade fettsyror (g);Palmitoljesyra C16:1 (g);Oljesyra C18:1 (g);Summa fleromättade fettsyror (g);Linolsyra C18:2 (g);Linolensyra C18:3 (g);Arakidonsyra C20:4 (g);EPA (C20:5) (g);DPA (C22:5) (g);DHA (C22:6) (g);Kolesterol (mg);Retinol (µg);Vitamin A (RE);β-Karoten (µg);Vitamin D (µg);Vitamin E (mg);Vitamin K (µg);Tiamin (mg);Riboflavin (mg);Vitamin C (mg);Niacin (mg);Niacinekvivalenter (NE);Vitamin B6 (mg);Vitamin B12 (µg);Folat (µg);Fosfor (mg);Jod (µg);Järn (mg);Kalcium (mg);Kalium (mg);Koppar (mg);Magnesium (mg);Natrium (mg);Salt (g);Selen (µg);Zink (mg);Stärkelse (g);Avfall (skal etc.) (%)
Moussaka ugnsstekt;515;117;489;4,7;7,6;6,82;1,38;77,79;0;1,66;2,18;1,37;0,17;0;3,5;2,76;0,15;0,06;0,25;1,38;0,73;0,02;3,4;0,12;3,19;0,86;0,63;0,18;0,01;0;0;0;32,48;33,9;45,3;135;0,47;1,55;;0,04;0,09;3,7;1,32;2,7;0,08;0,38;14,7;104,6;38,6;0,69;80,1;227,6;;18,2;309;0,78;3,15;1,2;;
Wokgrönsaker m. nudlar kyckling;518;101;422;8,6;4,64;5,58;1,18;78,65;0;1,4;2,84;1,56;1,56;0;4,4;1,1;0;0,01;0,03;0,88;0,15;0,02;2,25;0,06;2,14;1;0,75;0,23;0;0;0;0;15,6;22,2;124,9;1160;0,29;1,52;25,5;0,04;0,07;11,4;1,5;2,5;0,19;0,16;34,2;80,9;5;1,36;25,4;175;0,1;14,5;340;0,85;4,3;0,48;4,35;0
Kycklingsallad m. ananas paprika vitlöksdressing;519;75;314;2,4;5,17;4,45;0,78;86,32;0;0,9;1,06;0;0,04;0;1,1;0,59;0;0,01;0,01;0,41;0,12;0,02;2,99;0,06;2,85;1,31;0,86;0,43;0;0;0;0;17;3;41,7;475;0;1,16;28,9;0,04;0,05;5,5;1,35;2,2;0,13;0,16;22;67,1;2,4;0,27;21,1;177;0,02;100;147;0,37;2;0,3;0,04;0
Granatäpple;520;56;233;7;0,6;0,7;10;81;0;0,7;9;1;1;0;10;0,09;0;0;0;0,07;0,01;0,01;0,23;0;0,23;0,13;0,11;0,02;0;0;0;0;0;0;3,3;40;0;0,92;;0,03;0,03;6;0,3;0,42;0,1;0;10;8;0;0,3;3;260;;3;3;0,01;1;0,2;;44
Grapefrukt;521;43;182;8,3;0,5;0,88;0,9;88,6;0;0,8;4;2,9;2,9;0;6,9;0,07;0;0;0;0,06;0,01;0;0,07;0,01;0,06;0,1;0,1;0,03;0;0;0;0;0;0;25,8;265;0;0,27;0;0,07;0,02;35;0,3;0,4;0,02;0;23;18;0,3;0,09;23;129;0,04;8;1;0;0;0,1;;51
Guava;522;53;222;10;0,6;0,8;2;86;0;0,6;4,8;4,4;4,4;0;9,2;0,17;0;0;0,01;0,14;0,02;0;0,06;0;0,05;0,25;0,18;0,07;0;0;0;0;0;0;39,6;475;0;0,92;;0,05;0,05;184;1,2;1,33;0,14;0;5;25;0,7;0,3;20;285;;10;3;0,01;1;0,2;;20
Hallon;523;34;142;4,1;0,6;1,2;3,7;90;0;0,4;3,8;0,3;0,3;0;4,1;0,05;0;0;0;0,04;0,01;0;0,05;0;0,05;0,38;0,21;0,18;0;0;0;0;0;0;0,8;3;0;1,4;10,7;0,03;0,05;27;0,5;0,7;0,09;0;45,9;28;0,4;1,1;27;150;0,08;25;1;0;0;0,3;;0
Hallon sockrade frysvara;524;82;345;17,6;0,2;0,7;3,3;78;0;0,2;4;10,3;10,3;0;14,3;0,02;0;0;0;0,01;0;0;0,02;0;0,02;0,13;0,07;0,06;0;0;0;0;0;0;3;36;0;1,26;;0,02;0,04;16;0,2;0,32;0,03;0;26;17;0,4;0,6;15;114;;13;1;0;0;0,2;;0
Hjortron;525;54;225;7;0,9;1,3;6,3;84;0;0,5;7,7;0;0;0;7,7;0,08;0;0;0;0,06;0,01;0;0,07;0;0,07;0,57;0,32;0,27;0;0;0;0;0;0;11,7;140;0;0,3;;0,06;0,07;63;0,3;0,52;0,04;0;30;20;0,4;0,7;15;190;0,07;29;1;0;0;0,6;;0
Jordgubbar;526;41;172;8,29;0,21;0,49;1,9;88,73;0;0,37;7,3;0,6;0,6;0;7,9;0,04;0;0;0;0,04;0,01;0;0,02;0;0,02;0,11;0,07;0,04;0;0;0;0;0;0;0,8;10;0;0,55;5;0,01;0,02;60,8;0,44;0,5;0,07;0;85,7;20;1;0,34;18,1;129,5;0,04;11;1;0;0;0,2;;3
Jordgubbar hela sockrade frysvara;527;86;358;19,7;0,1;0,5;1,4;78;0;0,3;4,5;10,9;10,9;0;15,4;0,01;0;0;0;0;0;0;0,01;0;0,01;0,05;0,03;0,02;0;0;0;0;0;0;1,5;18;0;0,11;;0,02;0,08;40;0,3;0,38;0,03;0;87,8;12;1;0,5;11;98;;6;1;0;0;0,1;;0
Gratäng broccoligratäng veg. ;528;100;417;3,39;6,51;6,19;1,7;80,8;0;1,41;0,6;1,8;0,1;0;2,5;3,38;0,35;0,18;0,43;1,7;0,57;0,01;2,09;0,09;1,9;0,66;0,41;0,15;0,02;0;0;0;85,7;48,2;63,2;180;0,35;1,64;;0,05;0,14;15,4;0,16;1,6;0,07;0,28;58,7;115;;0,49;95;123;;20,9;272;0,68;4,03;1,46;;0
Grekisk sallad m. salladsost;529;87;364;3,24;6,84;2,72;1,21;85;0;1;2,02;0,25;0,23;0;2,3;2,32;0,32;0,1;0,26;1,12;0,38;0,02;3,45;0,08;3,33;0,5;0,44;0,05;0;0;0;0;7,35;26,5;43,3;200;0;1,41;;0,02;0,04;29;0,37;0,96;0,1;0,07;16,6;45,9;13,1;0,29;47,5;147;;10,2;207,5;0,52;0;0,27;;4,9
Grönsakssufflé;530;118;494;6,64;6,6;7,25;1,68;76;0;1,76;0,92;1,88;0,46;0;2,8;2,88;0,31;0,11;0,36;1,47;0,52;0,01;2,23;0,09;2,06;0,77;0,56;0,15;0,03;0;0;0,02;71,75;76,6;86,7;118;0,6;1,71;;0,05;0,17;4,3;0,48;2,12;0,08;0,58;32,1;148,6;;0,85;148,2;210,1;;17,4;258,8;0,65;5,4;0,89;;
Gratäng grönsaksgratäng veg.;531;89;371;5,88;5,07;4,18;1,62;81,41;0;1,84;1,62;1,54;0,42;0;3,2;2,05;0,22;0,08;0,28;1,03;0,36;0,02;1,88;0,06;1,75;0,7;0,49;0,2;0,01;0;0;0;23,11;38,4;60,7;260;0,49;1,61;;0,04;0,1;15,8;0,33;1,2;0,08;0,24;33,5;86,9;38;0,42;85,2;168,9;;15,9;446,6;1,12;1,9;0,5;;
Grekisk sallad m. fetaost;532;77;322;2;6,12;2,94;1,43;85,66;0;1,82;1,8;0,19;0,04;0;2;4,12;0,32;2,03;0,69;0,55;0,51;0,01;1,1;0,01;1,09;0,54;0,49;0,05;0;0;0;0;2,3;7;10,3;120;0,1;0,89;21;0,02;0,05;5,2;0,23;0,9;0,08;0,25;15,4;59,5;7,9;0,2;69;153;0,04;9,8;466;1,17;1,8;0,27;0,04;0
Grönsaksbuljong pasta el. pulver storhushåll;535;238;997;24,61;8,81;14,88;0;5,7;0;46;8;4;4;0;12;4,41;0;0;0,44;2,2;1,76;0;3,52;0,44;3,08;0,44;0,44;0;0;0;0;0;0;0;235,9;2830;0;4,72;;0,1;0,45;1,1;3,38;5,85;0,47;0;188,7;188,7;15;1,6;38;1347;;117,9;17050;42,63;0;0;;0
Agar torkad;537;314;1313;74,3;0,3;2,3;0;19,9;0;3,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0,38;0;0;0;14;;9;690;29;;33;4;0,01;0;0;;0
Quorn svampprotein färs bitar filé;538;104;434;5;2,1;13,7;4,8;73;0;1,4;0,8;0;0;0;0,8;0,55;0;0;0,01;0,39;0,15;0;0,43;0,02;0,41;1,36;0,99;0,37;0;0;0;0;0;0;0;0;0;0;;1,2;0,3;0;0,4;2,68;0,08;0,3;21;190;2;0,5;28,8;128;;36,5;330;0,83;0;8;;0
Gratäng broccoligratäng m. skinka;539;95;398;3,64;4,53;9,23;1,49;78,32;0;2,8;0,65;0,94;0,09;0;1,6;1,79;0,16;0,06;0,22;0,93;0,35;0,01;1,71;0,07;1,59;0,62;0,41;0,18;0,01;0;0;0,01;33,54;31,8;60,1;336;0,52;1,55;;0,12;0,14;12,2;1,08;2,85;0,16;0,39;37,4;131,6;25,1;0,57;70,2;188;;19,4;782,5;1,96;3,06;1,38;;
Wokgrönsaker m. nudlar veg.;543;81;340;8,1;4,13;1,72;2,47;82,34;0;1,26;2,91;1,64;1,64;0;4,6;0,63;0;0,01;0,01;0,51;0,08;0,02;1,77;0,01;1,72;0,88;0,64;0,24;0;0;0;0;2;20,6;149,6;1450;0,28;1,15;32;0,04;0,04;8,9;0,49;0,8;0,18;0,12;28,1;34,9;5,1;1,99;32,1;191;0,12;13,4;262;0,66;3,2;0,24;3,29;0
Pastej veg.;544;249;1042;9,1;20;7,56;2,4;58,8;0;2,1;0;1,9;0;0;1,9;14,01;1,28;6,42;2,91;2,6;0,75;0,04;3,15;0,08;3,08;1,95;1,93;0,02;0;0;0;0;0;0;2,6;31;0;1,48;5,9;0,19;0,47;0;2,84;4,1;0,2;0;261;157;0;1,3;35;263;0,07;27,9;596;1,49;2,9;2;7,7;0
Grönsaksbuljong ätf.;545;5;21;0,4;0,2;0,4;0;98;0;1;0,12;0,06;0,06;0;0,2;0,1;0;0;0,01;0,05;0,04;0;0,08;0,01;0,07;0,01;0,01;0;0;0;0;0;0;0;5;60;0;0,1;;0,06;0,04;9;0,7;0,77;0,01;0;4;4;0,3;0,1;4;8;;2,5;240;0,6;0;0;;0
Honungsmelon;546;33;137;7;0,1;0,5;0,7;91;0;0,7;4,2;2,6;2,6;0;6,8;0,03;0;0;0;0,02;0;0;0;0;0;0,02;0,02;0,02;0;0;0;0;0;0;0,6;7;0;0,07;2,9;0,07;0,01;8;0,4;0,5;0,07;0;13;6;0;0,18;6;180;0,02;6;11;0,03;0;0,1;0;54
Nätmelon;547;37;155;7,1;0,3;0,9;1;90;0;0,7;2;3;3;0;5;0,1;0;0;0;0,07;0,01;0;0,04;0,01;0,03;0,1;0,04;0,06;0;0;0;0;0;0;91,7;1100;0;0,1;;0,04;0,02;42;0,6;0,75;0,12;0;17;17;0,4;0,2;11;310;;11;9;0,02;0;0,2;;49
Rabarber tillagad u. socker;548;12;52;0,4;0,2;0,44;3,8;94,6;0;0,55;0,9;0,1;0,1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;72;0;0,28;10,2;0,02;0;6,9;0,22;0,3;0,03;0;55,2;20,5;0;0,21;11,7;191;0,03;7,6;0;0;0;0,15;0;10
Vattenmelon;549;34;142;7,5;0;0,6;0,6;91;0;0,3;6,3;2,4;2,4;0;8,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,2;230;0;0,1;;0,08;0,02;10;0,2;0,3;0,14;0;2;9;0,4;0,2;8;116;;11;2;0,01;0;0,1;;48
Ananas;550;52;217;11,5;0,1;0,5;1,2;86,4;0;0,3;6,1;5,3;5,3;0;11,4;0,01;0;0;0;0;0;0;0,01;0;0,01;0,02;0,02;0,01;0;0;0;0;0;0;2,9;35;0;0,03;0,7;0,08;0;53;0,3;0,4;0,1;0;12;6;0;0,16;14;121;0,09;11;0;0;0;0,1;0;48
Apelsin;551;50;208;10,4;0,2;0,81;1,2;87;0;0,4;4,2;4;4;0;8,2;0,02;0;0;0;0,02;0;0;0,03;0;0,03;0,02;0,02;0,01;0;0;0;0;0;0;4,6;6;0;0,35;0;0,22;0,03;52;0,5;0,6;0,05;0;33;16;1;0,11;24;122;0,03;8;1;0;0;0;0;29
Aprikos;552;51;214;9,3;0,4;1,4;2,1;86;0;0,8;2,5;5,8;5,8;0;8,3;0,03;0;0;0;0,02;0;0;0,17;0;0,17;0,08;0,08;0;0;0;0;0;0;0;130,8;1570;0;4;;0,03;0,04;10;0,6;0,83;0,05;0;9;19;0,5;0,5;14;295;0,09;8;1;0;0,2;0,3;;7
Banan;553;95;396;21,3;0,1;1,13;1,4;75;0;1,1;15,4;2,7;2,7;0;18,1;0,03;0;0;0;0,03;0;0;0,01;0;0,01;0,01;0,01;0,01;0;0;0;0;0;0;2,2;20;0;0,16;0,5;0,15;0,04;9;0,7;0,9;0,31;0;14;23;3;0;6;330;0,1;27;0;0;0;0,2;2,2;37
Björnbär;554;43;181;7,5;0,2;1,13;3,4;87,5;0;0,3;5,6;0;0;0;5,6;0,01;0;0;0;0;0;0;0,02;0;0,02;0,08;0,08;0,04;0;0;0;0;0;0;3,4;38;0;1,17;19,8;0,02;0,05;7;0,5;0,7;0,05;0;34;24;1;0,31;24;154;0,07;18;1;0;0;0,2;0;4
Blåbär;555;53;221;9,1;0,8;0,7;3,1;86;0;0,3;5,9;0,5;0,5;0;6,4;0,03;0;0;0;0,02;0;0;0,09;0;0,09;0,52;0,23;0,29;0;0;0;0;0;0;8,5;96;0;0,1;15;0,04;0,07;8,1;0,3;0,42;0,06;0;10,2;20;2;0,6;23;86;0,07;9;3;0,01;0;0,2;;2
Blåbär frysvara;556;43;181;7,6;0,5;0,5;3,1;88;0;0,3;5,9;0,5;0,5;0;6,4;0,02;0;0;0;0,01;0;0;0,05;0;0,06;0,32;0,14;0,18;0;0;0;0;0;0;1,1;13;0;0,1;;0,04;0,07;5;0,3;0,38;0,06;0;6;20;2;0,6;20;86;;9;3;0,01;0;0,2;;0
Blåbär sockrade frysvara;557;83;346;18,3;0,1;0,4;3,1;78;0;0,1;5,9;10,5;10,5;0;16,4;0;0;0;0;0;0;0;0;0;0,01;0,07;0,03;0,04;0;0;0;0;0;0;1,1;13;0;0,1;;0,02;0,05;1;0,3;0,37;0,06;0;6;7;2;0,4;6;60;;2;3;0,01;0;0,1;;0
Cherimoya;558;99;415;21,1;0,4;1,3;2,4;74;0;0,8;11,2;0,5;0,5;0;11,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;6;0;0,1;;0,1;0,11;9;1,3;1,52;0,05;0;5;40;1;0,5;23;113;;14;1;0;1;0,1;;35
Citron;559;41;170;7,3;0,3;1,1;2;89;0;0,3;1,5;0,5;0,5;0;2;0,04;0;0;0;0,03;0;0;0,01;0;0,01;0,09;0,06;0,03;0;0;0;0;0;0;0,2;3;0;0,24;;0,04;0,02;53;0,1;0,28;0,08;0;11;16;0,3;0,1;26;138;0,04;9;2;0,01;1,8;0,1;;47
Småcitrus clementin mandarin tangerin satsumas;560;54;226;11,4;0,2;0,75;1,5;85,8;0;0,4;3,5;6,1;6,1;0;9,6;0,03;0;0;0;0,02;0;0;0,04;0;0,03;0,03;0,03;0,01;0;0;0;0;0;0;8,8;67;0;0,21;0;0,17;0,03;42;0,4;0,5;0,06;0;19;15;1;0,09;25;128;0,04;9;1;0;0;0;0;25
Fikon;561;58;244;11,7;0,3;0,8;2,5;84;0;0,7;10,5;1;1;0;11,5;0,06;0;0;0;0,05;0,01;0;0,07;0;0,07;0,14;0,14;0;0;0;0;0;0;0;7;84;0;0,1;;0,06;0,05;2;0,4;0,53;0,11;0;3;14;1,5;0,4;35;230;0,07;17;1;0;2;0,2;;1
Fläderbär;562;67;279;11,4;0,5;0,7;6,8;80;0;0,6;6,3;0,2;0,2;0;6,5;0,03;0;0;0;0,03;0,01;0;0,03;0;0,03;0,29;0,16;0,13;0;0;0;0;0;0;30;360;0;1;;0,07;0,06;36;0,5;0,62;0,23;0;17;39;;1,6;38;280;;17;5;0,01;0;0,3;;6
Jordgubbar skivade sockrade frysvara;563;102;428;23,8;0,1;0,5;1,4;74;0;0,2;4,5;10,9;10,9;0;15,4;0,01;0;0;0;0;0;0;0,01;0;0,01;0,05;0,03;0,02;0;0;0;0;0;0;1;12;0;0,11;;0,02;0,05;42;0,4;0,48;0,03;0;87,8;13;1;0,6;11;98;;7;3;0,01;0;0,1;;0
Kaktusfikon;564;39;164;6,7;0,5;0,7;2,5;88;0;1,6;7,1;0;0;0;7,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;30;0;0;;0,01;0,06;14;0,5;0,62;0,02;0;5;24;1,5;0,3;56;220;;85;5;0,01;1;0,1;;25
Kiwi grön;565;55;232;9,6;0,9;0,81;2,7;85,4;0;0,6;8,1;0,2;0;0;8,3;0,05;0;0;0;0,03;0,02;0;0,08;0;0,08;0,43;0,43;0,07;0;0;0;0;0;0;3,3;39;0;2,17;40,3;0;0;71;0,3;0,4;0,09;0;33;33;2;0,22;33;289;0,17;13;1;0;0;0,1;0,3;15
Krusbär;566;38;160;5,7;0,6;0,8;3,4;89;0;0,5;5,2;0,2;0,2;0;5,4;0,07;0;0;0;0,06;0,01;0;0,06;0;0,06;0,35;0,16;0,11;0;0;0;0;0;0;10,4;119;0;0,37;8,3;0,04;0,03;28,3;0,3;0,43;0,08;0;9,3;28;0,3;0,4;34;148;0,05;10;3;0,01;0;0,1;;1
Physalis;567;57;239;8,9;0,63;1,81;4,2;80,3;0;4,21;8,32;3,41;3,41;0;11,7;0,19;0,06;0,01;0;0,07;0,01;0;0,12;0,01;0,1;0,12;0,04;0,07;0;0;0;0;0;0;139,8;1650;0;0,7;9,1;0,1;0,06;45,5;1,5;1,8;0,26;0;50,5;38,6;1;0,77;8,3;382,4;0,21;22,6;0,9;0;1,6;0,36;0,05;0
Kumquat;568;66;276;14,2;0,1;0,9;1,9;82;0;0,9;5,2;2,3;2,3;0;7,5;0,01;0;0;0;0,01;0;0;0,02;0;0,02;0,02;0,02;0;0;0;0;0;0;0;15;180;0;0,1;;0,08;0,1;38;0,2;0,35;0,02;0;20;19;0,5;0,4;44;195;;13;6;0,02;2;0,1;;7
Kvitten;569;63;265;13,1;0,1;0,4;4;82;0;0,4;6,7;0,6;0,6;0;7,3;0,01;0;0;0;0,01;0;0;0,04;0;0,04;0,05;0,05;0;0;0;0;0;0;0;2;24;0;0,1;;0,02;0,03;15;0,2;0,27;0,04;0;3;17;;0,7;11;197;;8;4;0,01;1;0,1;;39
Surkörsbär;570;61;256;13,34;0,08;0,88;1,4;83,8;0;0,51;15,4;0;0;0;15,4;0,02;0;0;0;0,01;0;0;0,02;0;0,02;0,02;0,01;0,01;0;0;0;0;0;0;16;178;0;0,55;6,2;0,01;0,02;4,4;0,3;0,4;0,05;0;9,7;18;0,2;0,2;16,2;220;;9;0,5;0;0;0,1;;10
Sötkörsbär;571;69;287;14,68;0,1;1,09;1,87;81,6;0;0,65;14,6;0;0;0;14,6;0,02;0;0;0;0,01;0,01;0;0,02;0;0,02;0,04;0,02;0,02;0;0;0;0;0;0;5,9;61;0;0,57;3,4;0,02;0,03;12,3;0,2;0,33;0,07;0;24,7;22;0,2;0,3;16,6;286;;8;0,7;0;0;0,1;;10
Lime;572;47;198;10,3;0,2;0,7;0,5;88;0;0,3;0,6;0;0;0;0,6;0,02;0;0;0;0,02;0;0;0,02;0;0,02;0,06;0,04;0,02;0;0;0;0;0;0;0,5;6;0;0,24;;0,03;0,02;29;0,2;0,32;0,08;0;8;18;0;0,6;33;102;;9;2;0,01;0,2;0,1;;16
Lingon;573;57;237;11;0,5;0,7;2,5;85;0;0,3;8,5;0,2;0,2;0;8,7;0,02;0;0;0;0,02;0;0;0,06;0;0,05;0,32;0,14;0,18;0;0;0;0;0;0;0,7;8;0;1,6;7,9;0,05;0,04;7,9;0,3;0,42;0,01;0;24,5;16;0,2;0,4;16;87;0,07;9;1;0;0;0,2;;6
Mango;574;56;235;11,3;0,6;0,69;1,1;86;0;0,3;4,4;6;6;0;10,4;0,14;0;0;0,02;0,11;0;0;0,22;0,11;0,12;0,03;0,03;0,08;0;0;0;0;0;0;58;682;0;0,93;4,2;0,05;0,03;26;0,9;1;0,07;0;24;13;0;0,12;15;150;0,06;9;4;0,01;0;0,1;0,3;31
Banan kokbanan;575;136;567;30,4;0,4;1,3;1,7;65;0;1,2;1,1;0,3;0,3;0;1,4;0,17;0,01;0;0;0,12;0,01;0;0,04;0;0,02;0,08;0,05;0,03;0;0;0;0;0;0;56,7;680;0;0,55;;0,05;0,05;18;0,7;0,92;0,3;0;22;34;3;0,6;3;500;;37;4;0,01;0,5;0,1;;35
Nektarin;576;53;223;10,9;0,3;0,94;1,3;86,1;0;0,5;4,2;5,6;5,6;0;9,8;0,02;0;0;0;0,02;0;0;0,08;0;0,08;0,1;0,1;0,02;0;0;0;0;0;0;12,9;106;0;0,43;2,2;0,02;0,02;3;0,7;0,9;0,04;0;8;25;3;0,2;7;257;0,09;9;0;0;0;0,1;0,1;9
Papaya;577;48;201;8,9;0,6;0,75;1,8;87,6;0;0,4;9,5;0;0;0;9,5;0,18;0;0;0,03;0,14;0,01;0;0,17;0,09;0,08;0,03;0,03;0,11;0;0;0;0;0;0;38,8;185;0;0,28;2,6;0,02;0,03;68;0,4;0,5;0,04;0;37;9;0,1;0,22;21;215;0,03;17;14;0,04;1;0,1;0;33
Paradisäpple;578;81;338;17,9;0,3;0,4;2;79;0;0,4;4,8;1;1;0;5,8;0,05;0;0;0;0,04;0,01;0;0,01;0;0,01;0,09;0,07;0,01;0;0;0;0;0;0;2;24;0;0,6;;0,03;0,02;8;0,1;0,17;0,05;0;3;15;;0,4;18;194;;7;1;0;1;0;;8
Passionsfrukt;579;76;316;7,4;0,7;2,2;15,9;73;0;0,8;3,1;3,1;3,1;0;6,2;0,08;0;0;0;0,05;0,03;0;0,12;0,01;0,11;0,36;0,21;0,15;0;0;0;0;0;0;35;420;0;1,8;;0;0,13;30;1,5;1,87;0,02;0;10;68;0,9;1,6;12;350;;29;28;0,07;1;0,1;;48
Persika nektarin;580;43;179;8,6;0,1;0,7;2,1;88;0;0,5;2,7;5,1;5,1;0;7,8;0,01;0;0;0;0,01;0;0;0,03;0;0,03;0,04;0,04;0;0;0;0;0;0;0;7,2;86;0;1,8;;0,02;0,04;8;1;1,12;0,02;0;4,2;12;0,3;0,5;5;197;0,13;11;3;0,01;0,4;0,1;;24
Sharon;581;77;321;16,9;0,2;0,6;2;80;0;0,3;15;1;1;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107,5;1290;0;0;;0,03;0,02;8;0,1;0,2;0,02;0;8;17;0;0,2;8;161;;9;1;0;1;0,1;;16
Plommon;582;47;198;10,18;0,05;0,5;1,84;87,1;0;0,34;2,75;4,4;4,4;0;7,2;0,01;0;0;0;0,01;0;0;0;0;0;0,03;0,02;0;0;0;0;0;0;0;35,8;430;0;0,34;;0,01;0,02;10;0,3;0,4;0,04;0;1,2;13,8;0,4;0,15;8,1;153,5;0,08;10;0,4;0;0,2;0,1;;6
Päron;583;54;226;11,5;0,1;0,31;2,7;85,2;0;0,2;10,1;1,2;1,2;0;11,3;0,02;0;0;0;0,02;0;0;0,01;0;0,01;0,04;0,04;0,01;0;0;0;0;0;0;1,2;14;0;0,12;4,4;0,03;0,04;3;0,2;0,3;0,04;0;6;9;1;0,14;7;105;0,05;5;1;0;0;0,1;0;8
Tranbär;584;46;192;8,9;0,2;0,4;3,3;87;0;0,2;3,4;0;0;0;3,4;0,01;0;0;0;0,01;0;0;0,02;0;0,02;0,13;0,06;0,07;0;0;0;0;0;0;1,8;22;0;1,6;;0,05;0,07;10;0,1;0,17;0,06;0;2;9;0;0,7;15;80;0,05;8;1;0;0;0,3;;5
Vinbär röda;585;48;203;8,7;0,2;1,2;3,4;86;0;0,5;7,3;0,2;0,2;0;7,5;0,05;0;0;0;0,03;0,01;0;0,03;0;0,03;0,08;0,04;0,03;0;0;0;0;0;0;1,5;18;0;0,8;15,7;0,02;0,02;134;0,3;0,5;0,04;0;10,3;35;1,1;0,8;43;260;0,07;14;4;0,01;0;0,2;;2
Vinbär svarta;586;77;322;11,47;1,28;1,38;7,07;77,9;0;0,9;7,8;0,5;0,5;0;8,3;0,23;0;0;0;0,18;0,02;0;0,09;0;0,07;0,71;0,4;0,2;0;0;0;0;0;0;8,6;103;0;1,45;28,5;0,01;0,02;150,4;0,25;0,48;0,17;0;21;72,4;1,5;0,67;69,6;367;0,08;24;1,6;0;0;0,3;;2
Vindruvor;587;70;291;15,6;0,15;0,63;1,25;81,9;0;0,5;16,1;0;0;0;16,1;0,05;0;0;0;0,04;0,01;0;0,01;0;0,01;0,03;0,03;0;0;0;0;0;0;0;0,6;7;0;0,16;14,6;0,07;0,01;2,5;0,2;0,3;0,04;0;6;18,5;1;0,23;9,7;215;0,09;6,6;1;0;0;0;0;4
Äpple m. skal;588;48;200;10,58;0,05;0;2,32;86,88;0;0,23;6,54;3,38;3,38;0;9,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22;0;0,32;2,7;0,01;0;4,8;0,12;0,12;0,04;0;2,9;6,8;0;0,09;3;61,6;0,03;3,6;0;0;0;0,03;0;8
Äpple u. skal ;589;58;242;13,4;0,1;0;0,9;85,1;0;0,3;7,5;3;3;0;10,5;0,02;0;0;0;0,01;0;0;0;0;0;0,03;0,02;0;0;0;0;0;0;0;2;24;0;0,5;;0,02;0,01;8;0,1;0,13;0,05;0;0,4;9,9;0;0,1;3,9;109;;3;0,9;0;0;0;;20
Hallon frysvara;590;38;157;5,4;0,5;1;3,7;89;0;0,4;2,7;0,7;0,7;0;3,4;0,04;0;0;0;0,03;0,01;0;0,04;0;0,04;0,32;0,17;0,15;0;0;0;0;0;0;0,5;6;0;1,4;;0,02;0,05;25;0,5;0,67;0,03;0;26;30;0,4;1;20;200;;25;1;0;0;0,3;;0
Björnbär frysvara;591;58;243;8,8;0,5;1;7,2;82;0;0,5;6,4;1,5;0,6;0;7,9;0,04;0;0;0;0,04;0;0;0,04;0;0,04;0,32;0,18;0,15;0;0;0;0;0;0;5,5;66;0;0,6;;0,03;0,05;5;1,2;1,37;0,06;0;34;30;0,4;0,4;20;160;;22;1;0;0;0,3;;0
Björnbär sockrade frysvara;592;69;288;12;0,5;1;6;80;0;0,5;4,2;7,8;7,8;0;12;0,04;0;0;0;0,03;0,01;0;0,04;0;0,04;0,32;0,18;0,15;0;0;0;0;0;0;5;60;0;0,54;;0,03;0,05;10;1,1;1,27;0,06;0;26;27;0,4;0,4;18;146;;20;0,9;0;0;0,2;;0
Jordgubbar frysvara;593;33;140;6,4;0,3;0,5;1,4;91;0;0,4;4,3;0,4;0,4;0;4,7;0,02;0;0;0;0,02;0;0;0,06;0;0,05;0,15;0,09;0,06;0;0;0;0;0;0;1,5;18;0;0,04;;0,03;0,05;35;0,3;0,38;0,03;0;98,5;28;1;0,5;21;190;;15;2;0,01;0;0,2;;0
Hallon blåbär frysvara;597;44;182;6,6;0,7;0,95;3,4;88;0;0,35;4,85;0,4;0,4;0;5,3;0,04;0;0;0;0,03;0,01;0;0,07;0;0,07;0,45;0,22;0,24;0;0;0;0;0;0;4,7;50;0;0,75;12,9;0,04;0,06;17,6;0,4;0,56;0,08;0;28,1;24;1,2;0,85;25;118;0,08;17;2;0,01;0;0,25;;1
